"","WCRNUMBER","LEGACYLOGNUMBER","STATE_WELL_NUMBER","CASING_NUMBER","SITE_CODE.x","LOCAL_WELL_NUMBER","EWM_MASTER_SITE_ID","LATITUDE.x","LONGITUDE.x","ELEVATION","CREATED_DT","PERSON_ID","SITE_CODE.y","SITE_CODE_ROOT","SITE_CODE_SEQ","EWM_ACCESS_RESTRICTION_ID","MODIFIED_DATE.x","MODIFIED_USER.x","MODIFIED_PROC.x","HORZ_COORDINATE_TYPE_ID","VERT_COORDINATE_TYPE_ID","HORZ_MEASUREMENT_METHOD_ID","VERT_MEASUREMENT_METHOD_ID","HORZ_MEASUREMENT_ACCURACY_ID","VERT_MEASUREMENT_ACCURACY_ID","EWM_MASTER_SITE_ACTV","APPL_ID.x","EWM_STATION_ID","EWM_BASIN_PORTION_ID","EWM_BASIN_ID","VERTICAL_MEASURE_METHOD_ID","VERTICAL_MEASURE_ACCURACY_ID","EWM_WELL_COMPLETION_ID","COMPLETION_RPT_NBR_AVAIL","LATEST_RP_ELEVATION","LATEST_GS_ELEVATION","COMPLETION_RPT_NBR","WELL_LOCATION_DESC","SAME_AS_STATE_WELL_NBR","EWM_STATION_USE_ID","EWM_STATION_ACTV","TOTAL_DEPTH_FT","EWM_OCCURRENCE_TYPE_ID","EWM_CONFIDENCE_TYPE_ID","WELL_DEPTH_UNKNOWN","RP_DESC","HAS_WELL_CONSTRUCTION_DATA","ADDL_COMMENTS","LOCAL_WELL_DESIGNATION","MODIFIED_USER.y","MODIFIED_DATE.y","MODIFIED_PROC.y","IS_VOLUNTARY_REPORTING","HORIZONTAL_MEASURE_METHOD_ID","HORIZONTAL_MEASURE_ACCURACY_ID","COUNTY_ID","LATITUDE.y","LONGITUDE.y","EWM_COORDINATE_TYPE_ID","PRIMARY_WELL_ORG_ID","APPL_ID.y","OWNER_ORG_ID"
"11","WCR0003419",NA,"05S09E11L001M",NA,NA,NA,85652,37.513,120.953,75.38,"2011-05-13 16:30:35",70371,"375130N1209532W001","375130N1209532W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,4943,732,339,0,0,1,"N",75.38,75.38,NA,"800' South of Tuolumne Road, 1/4 mile East of Central Ave.","N",1,"Y",117,NA,NA,"N","None Provided","Y",NA,"TID 071","siran.erysian@water.ca.gov","2019-04-11 18:03:58","CASGEM","N",0,0,50,37.513,-120.953,5,5060,24,5060
"12","WCR0003582",NA,"15S17E03R001M",NA,NA,NA,67214,36.6471,120.098,193.07,"2011-05-13 16:30:40",70371,"366471N1200979W001","366471N1200979W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,13702,NA,349,0,0,3,"N",194.07,193.07,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,10,36.6471,-120.098,6,NA,24,NA
"13","WCR0003588","00042264","15S17E11A001M",NA,NA,NA,67223,36.6466,120.08,197.57,"2011-05-13 16:30:40",70371,"366466N1200802W001","366466N1200802W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,33220,NA,349,0,0,3,"N",200.07,197.57,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,10,36.6466,-120.08,6,NA,24,NA
"14","WCR0003320",NA,"11S10E22G001M",NA,NA,NA,64272,36.9643,120.864,233.85,"2011-05-13 16:30:45",70371,"369643N1208643W001","369643N1208643W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,33662,NA,343,0,0,3,"N",233.85,233.85,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,24,36.9643,-120.864,6,NA,24,NA
"15","WCR0003321","00120454","07S13E33G001M",NA,NA,NA,62270,37.2807,120.551,142.42,"2011-05-13 16:30:45",70371,"372807N1205510W001","372807N1205510W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,30393,NA,340,0,0,3,"N",143.42,142.42,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,"203","DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,24,37.2807,-120.551,6,NA,24,NA
"16","WCR0003322",NA,"07S14E24H001M",NA,NA,NA,62188,37.3124,120.379,207.42,"2011-05-13 16:30:45",70371,"373124N1203788W001","373124N1203788W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,27650,NA,340,0,0,1,"N",207.42,207.42,NA,NA,"N",6,"Y",NA,NA,NA,"Y","None Provided","N",NA,"123I","mcginnis@water.ca.gov","2017-11-03 18:02:50","CASGEM","Y",0,0,24,37.3124,-120.379,5,NA,24,NA
"17","WCR0003327",NA,"10S10E02R001M",NA,NA,NA,58725,37.0855,120.838,102.07,"2011-05-13 16:30:37",70371,"370855N1208377W001","370855N1208377W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,12842,NA,343,0,0,3,"N",102.27,102.07,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,24,37.0855,-120.838,6,NA,24,NA
"18","WCR0003378",NA,"06S10E23N001M",NA,NA,NA,71949,37.3916,120.847,92.55,"2011-05-13 16:30:35",70371,"373916N1208466W001","373916N1208466W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,6621,NA,339,0,0,3,"N",92.55,92.55,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,24,37.3916,-120.847,6,NA,24,NA
"19","WCR0004543",NA,"32S25E32N001M",NA,NA,NA,81634,35.0947,119.322,487.53,"2011-05-13 16:30:43",70371,"350947N1193223W001","350947N1193223W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,23749,NA,355,0,0,3,"N",490.53,487.53,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,15,35.0947,-119.322,6,NA,24,NA
"20","WCR0004550",NA,"27S26E28A001M",NA,NA,NA,55289,35.5583,119.169,464.72,"2011-05-13 16:30:35",70371,"355583N1191690W001","355583N1191690W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,21028,NA,355,0,0,3,"N",465.22,464.72,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,15,35.5583,-119.169,6,NA,24,NA
"21","WCR0004605",NA,"22S27E36N001M",NA,NA,NA,50508,35.965,119.018,515.72,"2011-05-13 16:30:43",70371,"359650N1190181W001","359650N1190181W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,21535,NA,354,0,0,1,"N",515.72,515.72,NA,NA,"N",6,"Y",NA,NA,NA,"Y","None Provided","N",NA,"22S27E36N001M","michael.mcginnis@water.ca.gov","2017-11-03 18:02:50","CASGEM","Y",0,0,54,35.965,-119.018,5,NA,24,NA
"22","WCR0003620",NA,"21S23E10C001M",NA,NA,NA,58291,36.1231,119.474,231.75,"2011-05-13 16:30:36",70371,"361231N1194741W001","361231N1194741W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,19681,NA,352,0,0,3,"N",232.75,231.75,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,54,36.1231,-119.474,6,NA,24,NA
"23","WCR0003622",NA,"20S17E04Q001M",NA,NA,NA,73630,36.2106,120.13,398.94,"2011-05-13 16:30:34",70371,"362106N1201304W001","362106N1201304W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,21113,NA,350,0,0,3,"N",398.94,398.94,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,10,36.2106,-120.13,6,NA,24,NA
"24","WCR0003628",NA,"20S18E26K001M",NA,NA,NA,70224,36.1575,119.986,270.84,"2011-05-13 16:30:41",70371,"361575N1199857W001","361575N1199857W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,36004,793,350,2,2,1,"N",270.8,270.8,NA,"2575' e/o 29th Ave. and 1836 n/o Manteca Ave.","N",3,"N",2074,NA,NA,"N","Ground Surface","Y","9/8/2014 changed GSE from 268 to 270.8 per DWR request; 3/14/2017 found destroyed in 1994; replaced by 20S/18E-26K02","20S/18E-26K01","dloyd@westlandswater.org","2019-04-11 18:03:58","CASGEM","Y",3,10,16,36.1566,-119.986,5,5100,24,5100
"25","WCR0004674",NA,"30S30E07A001M",NA,NA,NA,56876,35.3403,118.791,910.85,"2011-05-13 16:30:36",70371,"353403N1187912W001","353403N1187912W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,22476,NA,355,0,0,3,"N",911.85,910.85,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,15,35.3403,-118.791,6,NA,24,NA
"26","WCR0004676","00035135","30S25E26B001M",NA,NA,NA,53646,35.2956,119.261,317.57,"2011-05-13 16:30:43",70371,"352956N1192612W001","352956N1192612W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,37128,NA,355,0,0,3,"N",318.57,317.57,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,15,35.2956,-119.261,6,NA,24,NA
"27","WCR0003677",NA,"21S16E02N001M",NA,NA,NA,60172,36.1233,120.218,573.01,"2011-05-13 16:30:36",70371,"361233N1202177W001","361233N1202177W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,36537,NA,351,0,0,3,"N",572.01,573.01,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,10,36.1233,-120.218,6,NA,24,NA
"28","WCR0003678",NA,"21S16E08E001M",NA,NA,NA,57337,36.1192,120.272,607.05,"2011-05-13 16:30:36",70371,"361192N1202716W001","361192N1202716W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,22907,NA,351,0,0,3,"N",608.05,607.05,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,10,36.1192,-120.272,6,NA,24,NA
"29","WCR0003683",NA,"20S24E01L001M",NA,NA,NA,58090,36.2183,119.323,299.71,"2011-05-13 16:30:36",70371,"362183N1193226W001","362183N1193226W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,17412,NA,352,0,0,3,"N",300.21,299.71,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,54,36.2183,-119.323,6,NA,24,NA
"30","WCR0003684",NA,"21S18E14D001M",NA,NA,NA,52884,36.1089,120.004,275.9,"2011-05-13 16:30:43",70371,"361089N1200035W001","361089N1200035W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,35071,NA,350,0,0,3,"N",277.9,275.9,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,16,36.1089,-120.004,6,NA,24,NA
"31","WCR0003495",NA,"16S19E09F001M",NA,NA,NA,61909,36.5577,119.91,227.66,"2011-05-13 16:30:45",70371,"365577N1199099W001","365577N1199099W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,20820,NA,349,0,0,3,"N",228.66,227.66,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,10,36.5577,-119.91,6,NA,24,NA
"32","WCR0003496",NA,"17S17E02N001M",NA,NA,NA,51488,36.4735,120.102,202.32,"2011-05-13 16:30:43",70371,"364735N1201024W001","364735N1201024W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,20611,NA,349,0,0,3,"N",202.82,202.32,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,10,36.4735,-120.102,6,NA,24,NA
"33","WCR0004598","00048330","25S26E28E001M",NA,NA,NA,56726,35.7255,119.184,396.67,"2011-05-13 16:30:36",70371,"357255N1191843W001","357255N1191843W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,22701,NA,355,0,0,3,"N",398.67,396.67,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,15,35.7255,-119.184,6,NA,24,NA
"34","WCR0003955",NA,"16S16E30M001M",NA,NA,NA,73550,36.5083,120.28,259.75,"2011-05-13 16:30:34",70371,"365083N1202796W001","365083N1202796W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,21124,NA,350,0,0,3,"N",261.25,259.75,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,10,36.5083,-120.28,6,NA,24,NA
"35","WCR0003887","00017786","12S14E34J003M",NA,NA,NA,66564,36.8432,120.418,152.32,"2011-05-13 16:30:41",70371,"368432N1204182W001","368432N1204182W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,32976,NA,343,0,0,3,"N",153.32,152.32,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,20,36.8432,-120.418,6,NA,24,NA
"36","WCR0004617",NA,"24S26E01A001M",NA,NA,NA,54282,35.8764,119.108,465.7,"2011-05-13 16:30:43",70371,"358764N1191084W001","358764N1191084W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,35165,NA,354,0,0,1,"N",467.7,465.7,NA,NA,"N",6,"Y",NA,NA,NA,"Y","None Provided","N",NA,"24S26E01A001M","michael.mcginnis@water.ca.gov","2017-11-03 18:02:50","CASGEM","Y",0,0,54,35.8764,-119.108,5,NA,24,NA
"37","WCR0004622",NA,"24S26E28L001M",NA,NA,NA,54269,35.8089,119.17,414.18,"2011-05-13 16:30:43",70371,"358089N1191703W001","358089N1191703W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,20891,NA,354,0,0,3,"N",415.18,414.18,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,54,35.8089,-119.17,6,NA,24,NA
"38","WCR0004623",NA,"21S28E31Q001M",NA,NA,NA,52628,36.0533,118.988,462.73,"2011-05-13 16:30:43",70371,"360533N1189884W001","360533N1189884W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,35405,NA,354,0,0,3,"N",466.73,462.73,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,54,36.0533,-118.988,6,NA,24,NA
"39","WCR0004627",NA,"26S23E04N002M",NA,NA,NA,53061,35.6886,119.509,225.52,"2011-05-13 16:30:43",70371,"356886N1195086W001","356886N1195086W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,18850,NA,355,0,0,3,"N",225.52,225.52,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,15,35.6886,-119.509,6,NA,24,NA
"40","WCR0003846",NA,"13S12E10N001M",NA,NA,NA,60927,36.8077,120.653,236.25,"2011-05-13 16:30:45",70371,"368077N1206535W001","368077N1206535W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,32498,NA,343,0,0,3,"N",237.05,236.25,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,10,36.8077,-120.653,6,NA,24,NA
"41","WCR0003856",NA,"13S15E25N001M",NA,NA,NA,51685,36.7646,120.292,172.42,"2011-05-13 16:30:43",70371,"367646N1202924W001","367646N1202924W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,15626,NA,343,0,0,3,"N",176.42,172.42,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,20,36.7646,-120.292,6,NA,24,NA
"42","WCR0003465",NA,"04S09E27H001M",NA,NA,NA,67137,37.5605,120.957,77.45,"2011-05-13 16:30:40",70371,"375605N1209571W001","375605N1209571W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,3022,NA,339,0,0,1,"N",77.45,77.45,NA,NA,"N",3,"Y",248,NA,NA,"N","None Provided","Y","Unknown. Blue clay starts at 170' on WCR, and well is perfed. from 0-196'.","TID 137","siran.erysian@water.ca.gov","2017-11-03 18:02:50","CASGEM","Y",0,0,50,37.5605,-120.957,5,NA,24,NA
"43","WCR0003467",NA,"04S09E36E001M",NA,NA,NA,72238,37.5441,120.934,84.42,"2011-05-13 16:30:34",70371,"375441N1209343W001","375441N1209343W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,3031,732,339,7,1,1,"N",88.69,86,NA,"2,600 feet South of E Keyes Road, 4,000 feet West of Faith Home Road","N",7,"Y",49,NA,NA,"N","RP elevation determined using survey grade GPS. GS elevation determined from DEM.","Y",NA,"TID 022","dcliebersbach@tid.org","2019-04-11 18:03:59","CASGEM","N",1,9,50,37.5439,-120.934,5,5060,24,5060
"44","WCR0003468",NA,"14S14E34P001M",NA,NA,NA,50698,36.6625,120.433,229.51,"2011-05-13 16:30:43",70371,"366625N1204335W001","366625N1204335W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,15775,NA,350,0,0,3,"N",230.51,229.51,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,10,36.6625,-120.433,6,NA,24,NA
"45","WCR0003469",NA,"14S14E36N002M",NA,NA,NA,50701,36.6622,120.406,208.51,"2011-05-13 16:30:43",70371,"366622N1204057W001","366622N1204057W",1,3000,"2017-11-03 18:02:50","DA LOAD","MSTR MOVE",11,16,0,0,0,0,"Y",24,32733,NA,350,0,0,3,"N",207.51,208.51,NA,NA,NA,6,"Y",NA,NA,NA,"Y","None Provided","N",NA,NA,"DA LOAD","2017-11-03 18:02:50","WDL STN MOVE","Y",0,0,10,36.6622,-120.406,6,NA,24,NA
